"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2001","1,140.20","1,131.00","1,140.40","1,125.50","-","1.04%"
"Nov 28, 2001","1,128.50","1,143.10","1,149.50","1,128.30","-","-1.83%"
"Nov 27, 2001","1,149.50","1,152.10","1,163.40","1,140.80","-","-0.68%"
"Nov 26, 2001","1,157.40","1,150.30","1,157.90","1,146.20","-","0.62%"
"Nov 23, 2001","1,150.30","1,137.00","1,151.00","1,135.90","-","1.17%"
"Nov 21, 2001","1,137.00","1,140.20","1,142.70","1,129.80","-","-0.50%"
"Nov 20, 2001","1,142.70","1,149.00","1,152.50","1,142.20","-","-0.73%"
"Nov 19, 2001","1,151.10","1,143.90","1,151.10","1,138.70","-","1.09%"
"Nov 16, 2001","1,138.70","1,142.20","1,143.50","1,129.90","-","-0.31%"
"Nov 15, 2001","1,142.20","1,141.20","1,146.50","1,135.10","-","0.09%"
"Nov 14, 2001","1,141.20","1,146.30","1,148.30","1,132.90","-","0.18%"
"Nov 13, 2001","1,139.10","1,118.30","1,139.10","1,118.30","-","1.86%"
"Nov 12, 2001","1,118.30","1,112.70","1,121.70","1,098.30","-","-0.18%"
"Nov 09, 2001","1,120.30","1,117.60","1,123.00","1,111.10","-","0.16%"
"Nov 08, 2001","1,118.50","1,115.80","1,135.80","1,115.40","-","0.24%"
"Nov 07, 2001","1,115.80","1,118.90","1,126.60","1,113.00","-","-0.28%"
"Nov 06, 2001","1,118.90","1,102.80","1,119.70","1,095.40","-","1.46%"
"Nov 05, 2001","1,102.80","1,087.20","1,106.70","1,087.20","-","1.43%"
"Nov 02, 2001","1,087.20","1,080.50","1,089.60","1,075.60","-","0.29%"
"Nov 01, 2001","1,084.10","1,063.10","1,085.60","1,054.30","-","2.29%"
"Oct 31, 2001","1,059.80","1,066.40","1,074.80","1,057.50","-","0.00%"
"Oct 30, 2001","1,059.80","1,078.30","1,078.30","1,053.60","-","-1.72%"
"Oct 29, 2001","1,078.30","1,099.80","1,104.60","1,078.30","-","-2.38%"
"Oct 26, 2001","1,104.60","1,096.20","1,110.60","1,094.20","-","0.41%"
"Oct 25, 2001","1,100.10","1,072.70","1,100.10","1,065.60","-","1.37%"
"Oct 24, 2001","1,085.20","1,085.20","1,090.30","1,080.00","-","0.04%"
"Oct 23, 2001","1,084.80","1,093.90","1,099.00","1,081.50","-","-0.47%"
"Oct 22, 2001","1,089.90","1,073.50","1,090.60","1,070.30","-","1.53%"
"Oct 19, 2001","1,073.50","1,066.60","1,075.50","1,057.20","-","0.46%"
"Oct 18, 2001","1,068.60","1,074.40","1,077.90","1,064.50","-","-0.79%"
"Oct 17, 2001","1,077.10","1,107.60","1,107.10","1,076.60","-","-1.86%"
"Oct 16, 2001","1,097.50","1,093.70","1,101.70","1,087.10","-","0.69%"
"Oct 15, 2001","1,090.00","1,083.40","1,091.70","1,078.20","-","-0.16%"
"Oct 12, 2001","1,091.70","1,088.40","1,097.40","1,072.20","-","-0.52%"
